Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Produção
01/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,52287456
01/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,7889464
01/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,41138046
01/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2663723
01/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21210371
01/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1347124
01/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,625270
12/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,49836229
12/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,6663591
12/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,40180690
12/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2878357
12/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,20994514
12/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1167768
12/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1262770
11/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,34362710
11/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,6344770
11/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,43173709
11/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2956018
11/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21422436
11/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1430839
11/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,832350
10/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,49095521
10/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5408019
10/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,47848994
10/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,131062
10/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3222497
10/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21899747
10/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,871142
10/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1237120
09/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,53911051
09/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4017241
09/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,46047908
09/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3655913
09/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,10425240
09/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,866624
09/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1003190
08/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,56065015
08/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4226236
08/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,39987431
08/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,129618
08/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2483248
08/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,11615562
08/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1122603
08/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,853020
07/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,52476539
07/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4568178
07/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,43566616
07/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2528738
07/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25098551
07/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,862854
07/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,848160
06/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,47628060
06/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,3793449
06/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,43795272
06/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4120684
06/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25046700
06/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,993501
06/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,963860
05/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48849249
05/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5888643
05/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,22770066
05/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,151915
