Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Produto,Produção
12/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Óleo Diesel S500 (m³),19787
12/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Querosene Iluminante (m³),21
12/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Solventes (m³),2060
11/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Gasolina A (m³),6673
11/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Nafta (m³),0
11/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Óleo Combustível (kg),7158134
11/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Óleo Diesel S500 (m³),2440
11/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Solventes (m³),5638
11/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,Gasolina A (m³),744
11/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,Óleo Diesel S500 (m³),23
11/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,Solventes (m³),37
11/2022,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Asfalto (kg),547332
11/2022,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Cimento Asfáltico (kg),18429543
11/2022,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,DMA-MGO (m³),2265
11/2022,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Lubrificantes (m³),3782
11/2022,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Óleo Combustível Marítimo (kg),15933164
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Cimento Asfáltico (kg),17450806
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Coque (kg),34885896
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,DMA-MGO (m³),115225
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Gasolina A (m³),229213
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Gasolina A Premium (m³),946
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,GLP (kg),47406311
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Lubrificantes (m³),42207
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Nafta (m³),77716
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Combustível (kg),154007158
