Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Produto,Produção
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Parafinas (kg),4078614
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Querosene de Aviação (m³),30921
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Querosene Iluminante (m³),379
11/2022,REFINARIA DE MATARIPE S.A.,41777706000141,REFMAT,NORDESTE,Bahia,SAO FRANCISCO DO CONDE,Solventes (m³),520
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,DMA-MGO (m³),11133
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Gasolina A (m³),19878
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Gasolina A Premium (m³),74
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,GLP (kg),1688106
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Nafta (m³),5800
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Óleo Combustível (kg),36288894
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Óleo Combustível Marítimo (kg),25117750
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Óleo Diesel S10 (m³),0
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Óleo Diesel S500 (m³),21419
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Querosene Iluminante (m³),102
11/2022,REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.,94845674000130,RIOGRANDENSE,SUL,Rio Grande do Sul,RIO GRANDE,Solventes (m³),2438
10/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Gasolina A (m³),4574
10/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Nafta (m³),0
10/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Óleo Combustível (kg),5809216
10/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Óleo Diesel S500 (m³),1890
10/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,Solventes (m³),5933
