Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Capacidade Autorizada (m³/d),Volume Processado  (m³/d),FUE (%)
02/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,22795,80
03/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,18393,65
04/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,15946,56
05/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,22103,78
06/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,25542,90
07/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,26065,91
08/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27113,95
09/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28321,99
10/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,25673,90
11/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28392,100
12/2021,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,24085,85
01/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,25877,91
02/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28055,98
03/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28120,99
04/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27948,98
05/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27170,95
06/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28233,99
07/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28199,99
08/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27041,95
09/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28060,98
10/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27641,97
11/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27888,98
12/2022,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,28265,99
01/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,25946,91
02/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,24826,87
03/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,14106,50
04/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,16294,57
05/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,25485,89
06/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27505,97
07/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,26937,95
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,28488,27622,97
10/2021,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
11/2021,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
12/2021,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
01/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
02/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
03/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
04/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
05/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,14,1
06/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,28,1
07/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,51,3
08/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,75,4
09/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,87,4
10/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,64,3
11/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,22,1
12/2022,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
01/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
02/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
03/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
04/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
05/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
06/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
07/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
08/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,1987,0,0
01/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
02/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
03/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
04/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
05/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
06/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
07/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
08/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
09/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
10/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
11/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
12/2019,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
01/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
02/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
03/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
04/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
05/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
06/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
07/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
08/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
09/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
10/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
11/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
12/2020,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
01/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
02/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
03/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
04/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
05/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
06/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
07/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
08/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
09/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
10/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
11/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
12/2021,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
01/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
02/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
03/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
04/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
05/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
06/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
07/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
08/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
09/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
10/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
11/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
12/2022,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
01/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
02/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
03/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
04/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
05/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
06/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
07/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
08/2023,UNIVEN REFINARIA DE PETRÓLEO LTDA.,67276923000494,UNIVEN,SUDESTE,São Paulo,ITUPEVA,820,0,0
